adx,sl,trail,activation,ts,trades,win_rate,pf,ret,dd,final_eq
25,1.5,1.0,2.0,16,41,46.34,0.82,-1.91,-4.59,196.19
25,1.5,1.2,1.0,8,41,39.02,0.82,-2.08,-3.57,195.83
25,1.5,1.2,1.0,12,41,41.46,0.97,-0.38,-3.68,199.24
25,1.5,1.2,1.0,16,41,39.02,0.91,-1.06,-3.68,197.87
25,1.5,1.2,1.5,8,41,39.02,0.82,-2.08,-3.57,195.83
25,1.5,1.2,1.5,12,41,41.46,0.97,-0.38,-3.68,199.24
25,1.5,1.2,1.5,16,41,39.02,0.91,-1.06,-3.68,197.87
25,1.5,1.2,2.0,8,41,39.02,0.82,-2.08,-3.57,195.83
25,1.5,1.2,2.0,12,41,41.46,0.97,-0.38,-3.68,199.24
25,1.5,1.2,2.0,16,41,39.02,0.91,-1.06,-3.68,197.87
25,2.0,0.8,1.0,8,41,48.78,0.87,-0.96,-2.78,198.08
25,2.0,0.8,1.0,12,41,48.78,0.81,-1.5,-3.13,197.01
25,2.0,0.8,1.0,16,41,48.78,0.79,-1.66,-3.13,196.68
25,2.0,0.8,1.5,8,41,48.78,0.87,-0.96,-2.78,198.08
25,2.0,0.8,1.5,12,41,48.78,0.81,-1.5,-3.13,197.01
25,2.0,0.8,1.5,16,41,48.78,0.79,-1.66,-3.13,196.68
25,2.0,0.8,2.0,8,41,48.78,0.87,-0.96,-2.78,198.08
25,2.0,0.8,2.0,12,41,48.78,0.81,-1.5,-3.13,197.01
25,2.0,0.8,2.0,16,41,48.78,0.79,-1.66,-3.13,196.68
25,2.0,1.0,1.0,8,41,46.34,0.76,-2.03,-3.22,195.95
25,2.0,1.0,1.0,12,41,46.34,0.82,-1.5,-3.55,197.0
25,2.0,1.0,1.0,16,41,46.34,0.79,-1.77,-3.57,196.45
25,2.0,1.0,1.5,8,41,46.34,0.76,-2.03,-3.22,195.95
25,2.0,1.0,1.5,12,41,46.34,0.82,-1.5,-3.55,197.0
25,2.0,1.0,1.5,16,41,46.34,0.79,-1.77,-3.57,196.45
25,2.0,1.0,2.0,8,41,46.34,0.76,-2.03,-3.22,195.95
25,2.0,1.0,2.0,12,41,46.34,0.82,-1.5,-3.55,197.0
25,2.0,1.0,2.0,16,41,46.34,0.79,-1.77,-3.57,196.45
25,2.0,1.2,1.0,8,41,39.02,0.79,-1.9,-2.94,196.2
25,2.0,1.2,1.0,12,41,41.46,0.93,-0.62,-2.82,198.76
25,2.0,1.2,1.0,16,41,39.02,0.86,-1.29,-2.98,197.42
25,2.0,1.2,1.5,8,41,39.02,0.79,-1.9,-2.94,196.2
25,2.0,1.2,1.5,12,41,41.46,0.93,-0.62,-2.82,198.76
25,2.0,1.2,1.5,16,41,39.02,0.86,-1.29,-2.98,197.42
25,2.0,1.2,2.0,8,41,39.02,0.79,-1.9,-2.94,196.2
25,2.0,1.2,2.0,12,41,41.46,0.93,-0.62,-2.82,198.76
25,2.0,1.2,2.0,16,41,39.02,0.86,-1.29,-2.98,197.42
